"","SYMBOL","ENSEMBL","ENTREZID"
"363","ARSD","ENSG00000006756","414"
"364","ABAT","ENSG00000183044","18"
"365","OLFML2B","ENSG00000162745","25903"
"366","GPNMB","ENSG00000136235","10457"
"367","FAM83D","ENSG00000101447","81610"
"368","HIST1H3J","ENSG00000197153","8356"
"369","CHRNA5","ENSG00000169684","1138"
"370","HIST1H2AL","ENSG00000276903","8332"
"371","SULF1","ENSG00000137573","23213"
"372","PNRC1","ENSG00000146278","10957"
"373","STIL","ENSG00000123473","6491"
"374","ZNF724","ENSG00000196081","440519"
"375","CDK2","ENSG00000123374","1017"
"376","NCAPD3","ENSG00000151503","23310"
"377","ZFP36L2","ENSG00000152518","678"
"378","GNE","ENSG00000159921","10020"
"379","PCDH7","ENSG00000169851","5099"
"380","UGT2B7","ENSG00000171234","7364"
"381","SHB","ENSG00000107338","6461"
"382","HJURP","ENSG00000123485","55355"
"383","TPPP3","ENSG00000159713","51673"
"384","BAIAP2L1","ENSG00000006453","55971"
"385","IL1RL1","ENSG00000115602","9173"
"386","IFIT2","ENSG00000119922","3433"
"387","RPE65","ENSG00000116745","6121"
"388","NCALD","ENSG00000104490","83988"
"389","PRKN","ENSG00000185345","5071"
"390","RAD18","ENSG00000070950","56852"
"391","DHX58","ENSG00000108771","79132"
"392","RFC3","ENSG00000133119","5983"
"393","NEDD4L","ENSG00000049759","23327"
"394","HHLA3","ENSG00000197568","11147"
"395","RAB27B","ENSG00000041353","5874"
"396","RANBP1","ENSG00000099901","5902"
"397","MINDY1","ENSG00000143409","55793"
"398","HIST1H2AE","ENSG00000277075","3012"
"399","MCM8","ENSG00000125885","84515"
"400","C12orf76","ENSG00000174456","400073"
"401","CCDC146","ENSG00000135205","57639"
"402","UBE2T","ENSG00000077152","29089"
"403","KCNJ10","ENSG00000177807","3766"
"404","BOP1","ENSG00000261236","23246"
"405","BOP1","ENSG00000285301","23246"
"406","HIST1H2BG","ENSG00000273802","8339"
"407","CKAP2L","ENSG00000169607","150468"
"408","PLXNB3","ENSG00000198753","5365"
"409","CYR61","ENSG00000142871","3491"
"410","CDR1","ENSG00000184258","1038"
"411","GMNN","ENSG00000112312","51053"
"412","POLA2","ENSG00000014138","23649"
"413","POLA2","ENSG00000285816","23649"
"414","CALCRL","ENSG00000064989","10203"
"415","EXOSC9","ENSG00000123737","5393"
"416","NEIL3","ENSG00000109674","55247"
"417","PIK3C2B","ENSG00000133056","5287"
"418","ZGRF1","ENSG00000138658","55345"
"419","CYP4V2","ENSG00000145476","285440"
"420","GDF11","ENSG00000135414","10220"
"421","SHCBP1","ENSG00000171241","79801"
"422","SKA3","ENSG00000165480","221150"
"423","AUNIP","ENSG00000127423","79000"
"424","THNSL2","ENSG00000144115","55258"
"425","PHF21A","ENSG00000135365","51317"
"426","SLC17A5","ENSG00000119899","26503"
"427","AURKB","ENSG00000178999","9212"
"428","LYST","ENSG00000143669","1130"
"429","DIAPH3","ENSG00000139734","81624"
"430","BCAR3","ENSG00000137936","8412"
"431","EGLN3","ENSG00000129521","112399"
"432","RPSAP52","ENSG00000241749","204010"
